modelId,layer,feature,description,explanationModelName,typeName
gemma-2-2b,4-gemmascope-res-16k,77,chemical symbols and notations related to atmospheric science,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,75, recurrent references to including files or dependencies in code or documentation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,74,html elements and attributes related to web page structure and multimedia content,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,70, numerical values or coding formats,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,73, programming-related terms and structures in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,72, symbols and elements related to formal mathematical expressions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,76,"terms related to software vulnerabilities, specifically buffer overflows",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,79,names of people and their associations within specific contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,71, code snippets and their functionalities in programming contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,78,phrases and terms associated with decision-making and legislative processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,80,terms and phrases related to statistical analysis and methodology,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,81,"references to the keyword ""this"" in object-oriented contexts, especially in code-related content",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,82,mathematical structure and notation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,87,terms and phrases related to history,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,89,"references to biological entities, specifically pupa and related statistics",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,88,"the term ""reverse"" in various contexts and forms",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,83,"mentions of the word ""strict"" and its variations",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,86,"terms related to marine biology and the study of sponges, particularly those involving silicon and silica processes",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,84,references to regulations and policies related to tobacco taxation and health implications,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,85," the word ""hence"" in various forms, indicating a causal relationship or conclusion",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,97,"references to data structures, particularly arrays and their associated operations",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,96,phrases related to legal obligations and conditions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,95, expressions indicating feelings or perceptions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,93,"instances of organizations being established or created, along with their founding details",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,92,elements that convey emotional qualities or subjective impressions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,91,expressions of significance and importance in personal relationships and experiences,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,98,references to regions and cultural aspects related to south asia and its cuisine,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,99,intensifiers that emphasize the extent or degree of something,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,90, interactions or operations related to task management in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,94,"tokens indicating the start of a document or paragraph, particularly placeholders that mark the beginning",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,100, markup tags and formatting elements,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,102,terms related to religious and political dynamics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,101,specific kitchen utensils and ingredients used in food preparation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,107,keywords and constructs related to programming and software development,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,109, code-related keywords and structures,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,106,"instances of the word ""rare"" and its related phrases",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,104,code structures and syntax elements in programming languages,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,103,references to signs or indicators of various concepts or situations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,108, scientific research topics related to physics and astrophysics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,105, structured programming elements and various visual components in software code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,115,academic journal references and citations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,119,"instances of the word ""only"" and related phrases emphasizing limitation or exclusivity",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,117, expressions related to self-reference and identity,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,118, sections of text indicating edits or updates,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,114,roles and titles related to management and supervision,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,111,"instances of the word ""use"" in various forms",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,112,concepts related to emotional experiences and human connections,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,110,"phrases related to the concept of ""amount"" or quantities",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,116,phrases indicating relationships or interactions between individuals,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,113,terms related to releases and information transfer,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,129,technical jargon and references to scientific or specialized fields,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,121,terms related to legal standards and calculations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,123,terms related to emergence and growth in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,124, punctuation and special characters in code snippets,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,125, concepts related to social and cultural dynamics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,127,"elements related to data types, structures, and definitions in programming or data schemas",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,128,html document structure and related components,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,120,references to significant studies or findings in scientific literature,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,122,function definitions in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,132,urls or file paths related to image resources,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,134,references to comma-separated values and their formatting in text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,135,verbs related to decision-making and selection processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,130,references to entities and their affiliations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,131,adjectives expressing degree or intensity,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,133,"specific references to portions, parts, or components of information related to questions of safety or assessments in medical and legal contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,136,references to specific fields or areas of study,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,138,mentions of national organizations or agencies,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,137,patterns related to lists and itemized information,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,139,instances of character limits or counts related to data or programming structures,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,141,"programming-related terms, particularly those that involve user interface design and data handling",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,142,"the term ""alternative"" and its variations in context",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,143,multiple references to addresses and contact information,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,147, phrases related to performance metrics in sports contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,146,references to uniqueness or individuality,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,144,terms related to employment and employer obligations in legal contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,149,themes of conflict and tension in relationships,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,140,references to specific types of shirts or clothing items,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,145, java gui component instantiations and layouts in android development,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,148,references to dryness or dry conditions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,150,concepts and terminology related to flow and flowcharts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,153, mathematical symbols and variables typically used in scientific equations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,151, prepositions and conjunctions indicating locations or connections,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,152, latex commands and environments used in document preparation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,156,assert statements in programming code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,157, references to the window object in programming contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,155,phrases indicating quantity and count,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,154,phrases and concepts related to the mind and cognitive processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,158,phrases related to mathematical concepts of common factors and divisors,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,159,elements associated with programming and xml syntax,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,167,phrases indicating opportunities and actions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,168,"numerical data, specifically focusing on statistical values and measures",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,169,terms related to opioid receptors and their biological evaluation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,4-gemmascope-res-16k,166,"references to programming structures and methods, especially in the context of data handling and session management",gpt-4o-mini,oai_token-act-pair
